,GC3
YAL001C,0.316489362
YAL002W,0.347791165
YAL003W,0.422110553
YAL005C,0.436018957
YAL007C,0.371428571
YAL008W,0.390374332
YAL009W,0.388
YAL010C,0.329853862
YAL011W,0.406666667
YAL012W,0.539845758
YAL013W,0.670050761
YAL014C,0.541832669
YAL015C,0.435013263
YAL016W,0.337641357
YAL017W,0.347694633
YAL018C,0.399361022
YAL019W,0.407071623
YAL020C,0.575471698
YAL021C,0.524223602
YAL022C,0.532653061
YAL023C,0.471751412
YAL024C,0.333094556
YAL025C,0.401360544
YAL026C,0.317035905
YAL027W,0.40625
YAL028W,0.397660819
YAL029C,0.35699227
YAL030W,0.369369369
YAL031C,0.405698779
YAL032C,0.440540541
YAL033W,0.494047619
YAL034W-A,0.402826855
YAL035W,0.361593463
YAL036C,0.432132964
YAL037W,0.409266409
YAL038W,0.520491803
YAL039C,0.560483871
YAL040C,0.440497336
YAL041W,0.407990315
YAL042W,0.577114428
YAL043C,0.542932629
YAL044C,0.5
YAL046C,0.550458716
YAL047C,0.399014778
YAL048C,0.397217929
YAL049C,0.373443983
YAL051W,0.347222222
YAL053W,0.445322793
YAL054C,0.431457431
YAL055W,0.379310345
YAL056W,0.3321513
YAL058W,0.385263158
YAL059W,0.367149758
YAL060W,0.412568306
YAL061W,0.497512438
YAL062W,0.517006803
YAL063C,0.3609375
YAL064W,0.304347826
YAL067C,0.291071429
YAR002W,0.317073171
YAR003W,0.324390244
YAR007C,0.352649007
YAR008W,0.343396226
YAR014C,0.36416185
YAR015W,0.432885906
YAR018C,0.370546318
YAR019C,0.423890063
YAR020C,0.333333333
YAR023C,0.333333333
YAR027W,0.349557522
YAR028W,0.418181818
YAR029W,0.305555556
YAR031W,0.358885017
YAR033W,0.387665198
YAR035W,0.761976048
YAR042W,0.452401747
YAR050W,0.359406608
YAR064W,0.46875
YAR068W,0.361290323
YAR071W,0.451327434
YBL001C,0.29
YBL002W,0.395348837
YBL003C,0.282442748
YBL004W,0.311285655
YBL005W,0.326315789
YBL006C,0.443820225
YBL007C,0.335299073
YBL008W,0.328009828
YBL009W,0.35660091
YBL010C,0.357664234
YBL011W,0.448369565
YBL013W,0.476923077
YBL014C,0.347525892
YBL015W,0.472440945
YBL016W,0.51026393
YBL017C,0.337027379
YBL018C,0.26984127
YBL019W,0.329365079
YBL020W,0.448648649
YBL021C,0.553956835
YBL022C,0.363553944
YBL023C,0.292798111
YBL024W,0.307575758
YBL025W,0.384615385
YBL026W,0.369565217
YBL027W,0.403225806
YBL028C,0.284313725
YBL029W,0.387533875
YBL030C,0.386885246
YBL031W,0.382978723
YBL032W,0.521164021
YBL033C,0.470238095
YBL034C,0.367808219
YBL035C,0.345821326
YBL036C,0.348
YBL037W,0.353
YBL038W,0.357142857
YBL039C,0.334532374
YBL040C,0.38647343
YBL041W,0.379746835
YBL042C,0.430213465
YBL043W,0.4
YBL044W,0.449152542
YBL045C,0.43018018
YBL046W,0.417061611
YBL047C,0.320768662
YBL049W,0.421052632
YBL050W,0.361403509
